INDICADOR_x,PAIS,Año_x,VALOR,INDICADOR_y,Año_y,TASA %
PIB expresado en Millones de USD,Bolivia,2017,37508,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2018,-5.04077202
PIB expresado en Millones de USD,Bolivia,2017,37508,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2019,-7.22134796
PIB expresado en Millones de USD,Bolivia,2017,37508,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2020,-2.970182
PIB expresado en Millones de USD,Bolivia,2018,40287,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2015,-0.82147039
PIB expresado en Millones de USD,Bolivia,2018,40287,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2016,-0.53360796
PIB expresado en Millones de USD,Bolivia,2018,40287,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2017,-4.11135039
PIB expresado en Millones de USD,Bolivia,2018,40287,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2018,-5.04077202
PIB expresado en Millones de USD,Bolivia,2018,40287,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2019,-7.22134796
PIB expresado en Millones de USD,Bolivia,2018,40287,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2020,-2.970182
PIB expresado en Millones de USD,Bolivia,2019,40895,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2015,-0.82147039
PIB expresado en Millones de USD,Bolivia,2019,40895,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2016,-0.53360796
PIB expresado en Millones de USD,Bolivia,2019,40895,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2017,-4.11135039
PIB expresado en Millones de USD,Bolivia,2019,40895,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2018,-5.04077202
PIB expresado en Millones de USD,Bolivia,2019,40895,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2019,-7.22134796
PIB expresado en Millones de USD,Bolivia,2019,40895,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2020,-2.970182
PIB expresado en Millones de USD,Bolivia,2020,36629,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2015,-0.82147039
PIB expresado en Millones de USD,Bolivia,2020,36629,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2016,-0.53360796
PIB expresado en Millones de USD,Bolivia,2020,36629,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2017,-4.11135039
PIB expresado en Millones de USD,Bolivia,2020,36629,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2018,-5.04077202
PIB expresado en Millones de USD,Bolivia,2020,36629,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2019,-7.22134796
PIB expresado en Millones de USD,Bolivia,2020,36629,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2020,-2.970182
PIB expresado en Millones de USD,Brasil,2015,1822107,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2015,1.942196208
PIB expresado en Millones de USD,Brasil,2015,1822107,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2016,-0.5526545
